(0.1, 1.1, 2.0)
(0.1, 1.2, 2.0)
(0.1, 1.5, 2.0)
(0.1, 1.7, 2.0)
(0.0, 1.4, 2.0)
(-0.1, 1.1, 1.9)
(-0.1, 0.9, 1.9)
(-0.1, 0.9, 1.9)
(0.3, 1.4, 2.0)
(0.3, 1.1, 1.9)
(0.3, 0.9, 1.9)
(0.3, 0.9, 1.9)
(0.0, 1.0, 1.9)
(0.0, 0.7, 2.0)
(0.0, 0.3, 2.0)
(0.0, 0.3, 1.9)
(0.2, 1.0, 1.9)
(0.2, 0.7, 2.0)
(0.2, 0.3, 2.0)
(0.2, 0.3, 1.9)
(0.1, 1.1, 2.0)
(0.1, 1.2, 2.0)
(0.1, 1.5, 2.0)
(0.1, 1.7, 2.0)
(0.0, 1.4, 2.0)
(-0.1, 1.1, 1.9)
(-0.1, 0.9, 1.9)
(-0.1, 0.9, 1.9)
(0.3, 1.4, 2.0)
(0.3, 1.1, 1.9)
(0.3, 0.9, 1.9)
(0.3, 0.9, 1.9)
(0.0, 1.0, 1.9)
(0.0, 0.7, 2.0)
(0.0, 0.3, 2.0)
(0.0, 0.3, 1.9)
(0.2, 1.0, 1.9)
(0.2, 0.7, 2.0)
(0.2, 0.3, 2.0)
(0.2, 0.3, 1.9)
(1.0, 1.0, 1.0)
(0.1, 1.1, 2.0)
(0.1, 1.2, 2.0)
(0.1, 1.5, 2.0)
(0.1, 1.7, 2.0)
(0.0, 1.4, 2.0)
(-0.1, 1.1, 1.9)
(-0.1, 0.9, 1.9)
(-0.1, 0.9, 1.9)
(0.3, 1.4, 2.0)
(0.3, 1.1, 1.9)
(0.3, 0.9, 1.9)
(0.3, 0.9, 1.9)
(0.0, 1.0, 1.9)
(0.0, 0.7, 2.0)
(0.0, 0.3, 2.0)
(0.0, 0.3, 1.9)
(0.2, 1.0, 1.9)
(0.2, 0.7, 2.0)
(0.2, 0.3, 2.0)
(0.2, 0.7, 2.0)
(0.2, 0.3, 2.0)
(0.1, 1.1, 2.0)
(0.1, 1.2, 2.0)
(0.1, 1.5, 2.0)
(0.1, 1.7, 2.0)
(0.0, 1.4, 2.0)
(-0.1, 1.1, 1.9)
(-0.1, 0.9, 1.9)
(-0.1, 0.9, 1.9)
(0.3, 1.4, 2.0)
(0.3, 1.1, 1.9)
(0.3, 0.9, 1.9)
(0.3, 0.9, 1.9)
(0.0, 1.0, 1.9)
(0.0, 0.7, 2.0)
(0.0, 0.3, 2.0)
(0.0, 0.3, 1.9)
(0.2, 1.0, 1.9)
(0.2, 0.7, 2.0)
(0.2, 0.3, 2.0)
(0.2, 0.7, 2.0)
(0.2, 0.3, 2.0)
(0.2, 0.7, 2.0)
(0.2, 0.3, 2.0)
